4,_debugbar/open
5059212,{city}
99293,{city}/events/{topic}/{id}
79387,{city}/news
45351607,{city}/news/{topic}/{id}
1,{city}/webinar/{topic}/{id}
3270,{classification}/news/past
74198,{classification}/news/past/{year}/{month}
8222,{tag}/events
528122,/
4,400
264433,about
74651,about/{location}
850,ad-products
41709,add-to-calendar
13880,admin
9,admin/ads
7861,admin/ajax-addpanelists
6957,admin/ajax-addsponsors
81017,admin/ajax-panelists
18397,admin/ajax-savepanelists
13908,admin/ajax-savesponsors
263,admin/ajax-savesponsortiers
18059,admin/ajax-sponsors
271,admin/ajax-togglepanels
1,admin/bio-admin/{id}
4,admin/bios
2,admin/blacklist
5,admin/cache/cache_run/{function}
1,admin/cache/classifications
4,admin/cache/events
8,admin/cache/index
1,admin/cache/misc
1,admin/cdn-image-link
122,admin/classifications
21,admin/classifications/{classification}
39,admin/classifications/{classification}/edit
19,admin/classifications/create
27,admin/comps
1,admin/comps/{comp}/edit
2,admin/comps/create
3,admin/comps/search-slugs
42,admin/contacts
33,admin/contacts/{contact}
40,admin/contacts/{contact}/edit
17,admin/content-index
2,admin/content/{content}/questions
3,admin/content/{content}/sponsor-logos
4,admin/content/{contentId}/sponsor-logos/list
1,admin/currency
6,admin/custom-content
47,admin/download/receipt/pdf/{attendee_id}
36,admin/email/attendee/{attendee_id}/eventReminder/send
2849,admin/email/attendee/{attendee_id}/receipt/send
3,admin/email/fullPageRender
7,admin/email/receipt/{invoice_id}/send
1383,admin/email/send
1,admin/employee-mapping
3,admin/employee-mapping/{employee_mapping}
87055,admin/event/{event}/pricingTiers
3314,admin/event/{event}/pricingTiers/{pricing_tier}
3,admin/event/{event}/pricingTiers/{pricing_tier}/down
343,admin/event/{event}/pricingTiers/{pricing_tier}/restore
68,admin/event/{event}/pricingTiers/{pricing_tier}/up
245,admin/event/{event}/pricingTiers/available
3,admin/event/additional-markets/{id}
2,admin/event/emails/{id}
2,admin/event/hot-lead-urls/{id}
12,admin/event/photos/{id}
4,admin/event/sponsor-opportunities/{id}
16,admin/event/topic-questions/{id}
2,admin/eventemails/create
7,admin/eventemails/get_emails
88646,admin/events
9885,admin/events/{event}
4,admin/events/{event}/branding-sponsorships
6059,admin/events/{event}/content
5442,admin/events/{event}/content/{eventContent}
24,admin/events/{event}/digital-access
46,admin/events/{event}/download-playbook
82908,admin/events/{event}/edit
40,admin/events/{event}/import-event-csv
16,admin/events/{event}/import-event-csv/uploads
677,admin/events/{event}/iterable
155,admin/events/{event}/iterable/force-sync-catalog
130,admin/events/{event}/iterable/setup-catalog-item
719,admin/events/{event}/marketo
636,admin/events/{event}/marketo-setup
109,admin/events/{event}/marketo-tokens
22,admin/events/{event}/playbook-html
336,admin/events/{event}/sponsor-tiers
87,admin/events/{event}/sponsor-tiers/{event_sponsor_tier}
206,admin/events/{event}/sponsor-tiers/{event_sponsor_tier}/edit
420,admin/events/{event}/sponsor-tiers/create
15,admin/events/{event}/sponsor/{eventSponsor}/lead-scoring
290,admin/events/{event}/ticket-display
2383,admin/events/{event}/tickets
370,admin/events/{event}/tickets/{ticket}
413,admin/events/{event}/tickets/{ticket}/edit
43,admin/events/{event}/tickets/{ticket}/reactivate
291,admin/events/{event}/tickets/create
3,admin/events/{eventId}/delete-header-background
50,admin/events/{eventId}/delete-page-background
1238,admin/events/{eventId}/panels
120,admin/events/{eventId}/panels/{panelId}
2650,admin/events/{eventId}/panels/update
9063,admin/events/{id}/addAttendee
12,admin/events/{webinarVideo}/download-video
539,admin/events/active
271,admin/events/ads/event/{event}/copromo
794,admin/events/ads/event/{eventId}
581,admin/events/ads/event/{eventId}/{size}
13634,admin/events/agenda/{event_id}
72011,admin/events/attendees/{id}
1978,admin/events/attendees/badges/{eventId}
2744,admin/events/attendees/badges/csv/{id}
8173,admin/events/attendees/csv/{event}
10,admin/events/attendees/discount-code
5,admin/events/attendees/electives/{attendee}/{event_id}
2,admin/events/attendees/escape-ascent
818,admin/events/attendees/escape/{id}
9,admin/events/attendees/escape/csv/{id}
13,admin/events/blast/{id}/{template}
172,admin/events/content/{eventContent}
1,admin/events/copromo/{id}
1,admin/events/copromo/sponsor
13,admin/events/create
29,admin/events/dashboard
13,admin/events/delete-raw-space-image/{id}
2,admin/events/eloqua/subjects/list-new/{id}
3,admin/events/email-subject-lines
625,admin/events/marketing-automation/create/{event}
23,admin/events/marketing-automation/subjects/{event_id}
3789,admin/events/marketing-automation/sync/{event}
5886,admin/events/my
186,admin/events/override
18,admin/events/panelist/report
7,admin/events/playbook/{event}
24,admin/events/playbook/{event}/edit
10,admin/events/preview/{id}/{template}
90,admin/events/questions/{event}
130,admin/events/raw-space/{id}/{status}
1,admin/events/reminders
76,admin/events/reminders/{event}/{reminder}
3,admin/events/reminders/{event}/zoom/{reminder}
161,admin/events/removeAttendee
37,admin/events/reports/attendees
16,admin/events/reports/outstanding-events-csv
311,admin/events/reports/renewals
45,admin/events/reports/renewals/csv
291,admin/events/reports/renewals/search
98576,admin/events/search
5,admin/events/send-calendar/all
4496,admin/events/shoutout
115,admin/events/shoutout/{shoutout}
4902,admin/events/shoutouts
20,admin/events/stats/event/{eventId}
190,admin/events/testimonials/{event}
2651,admin/events/updateAttendee
4,admin/functions
26,admin/groups
525,admin/handleLogin
1,admin/howtos/{howto}
1517,admin/invoice/{id}
28,admin/lists
3,admin/lists/view/{id}
6,admin/log
67894,admin/login
19,admin/logout
9925,admin/order/{id}
3,admin/order/{id}/addAttendee
1015,admin/order/{id}/getEvents
3,admin/order/{id}/getRemainingAttendeesForEvent/{event_id}
115,admin/order/{id}/resendConfirmation
381,admin/order/{order_id}/full-credit
181,admin/order/{order_id}/line-item-credit
2,admin/order/item/{id}
17407,admin/panelists
13,admin/panelists/{id}/image-nobg
720,admin/panelists/{id}/image-original
3444,admin/panelists/{id}/image-square
4756,admin/panelists/{id}/view
12398,admin/panelists/{panelist}
11468,admin/panelists/{panelist}/edit
3601,admin/panelists/create
16606,admin/panelists/search
23,admin/permissions_by_user
916,admin/placements
44,admin/placements/{placement}
18,admin/placements/{placement}/edit
199,admin/placements/create
7889,admin/placements/homepage
26,admin/publisher_stories
3,admin/publisher_stories/{publisher_story}/edit
11,admin/questionnaire/{questionnaire}
2,admin/quizzes
1,admin/quizzes/{quiz}/edit
13,admin/reports
5,admin/reports/{report}
2360,admin/reports/invoices
1,admin/reports/invoices/csv
23,admin/reports/invoices/search
2433,admin/reports/orders
4,admin/reports/orders/csv
9,admin/reports/sales
3,admin/reports/sales/make
1,admin/reports/settledSales
4869,admin/sales/discounts
1581,admin/sales/discounts/create
56,admin/sales/discounts/disable/{id}
2227,admin/sales/discounts/edit/{id}
26,admin/sales/discounts/enable/{id}
12,admin/sales/invoices/create-manual
2,admin/sales/postEventPlaybookItems/{id}
181,admin/sales/products
104,admin/sales/products/{id}/addons
6,admin/sales/products/addons/{id}/remove
15,admin/sales/products/search
7,admin/settings
5,admin/settings/{setting}
9,admin/settings/{setting}/edit
2,admin/show-social-tokens
4,admin/signatures
1,admin/signatures/{signature}
1,admin/signatures/{signature}/edit
1,admin/slides
1,admin/slides/{slide}
6,admin/slideshows
3,admin/slideshows/{slideshow}/edit
1,admin/slideshows/create
153,admin/sponsor-logos/list
204,admin/sponsorblogs/{id}
3,admin/sponsorblogs/{sponsorblog}
116,admin/sponsorblogs/create
210,admin/sponsorimages/{id}
1160,admin/sponsorimages/{id}/makedefault
3573,admin/sponsors
2475,admin/sponsors/{sponsor_id}/image
2949,admin/sponsors/{sponsor}
6710,admin/sponsors/{sponsor}/edit
24,admin/sponsors/{sponsor}/lead-scoring
41,admin/sponsors/create
2747,admin/sponsors/search
43,admin/stories
65773,admin/stories/{story}/edit
5,admin/stories/create
3,admin/story_shoutouts
17,admin/story-templates
1,admin/subscription-email
1,admin/subscriptions
3,admin/tags
2800,admin/user/{user_id}
27,admin/user/delete
27,admin/user/delete/{user_id}
4,admin/user/lockout/{id}
121,admin/user/password-reminder/{id}
5601,admin/users
13,admin/users/new-by-email
11,admin/videos
4939,api/blasts
1841,api/cart/v2/add/{product}
65717,api/cart/v2/checkout
5491,api/cart/v2/client-token
399093,api/cart/v2/currencies
2,api/cart/v2/currency
15597,api/cart/v2/discount/add
661,api/cart/v2/discount/remove
1286,api/cart/v2/event-topics
822081,api/cart/v2/refresh
61810,api/cart/v2/remove/{product}
8763,api/cart/v2/update/{product}
13648,api/cart/v2/vault/{token}
336,api/classifications
74,api/content/popular/markets_with_limit
4730,api/content/popular/national/{market}
474,api/content/recent/{market}
2,api/event/{market}
291627,api/event/v2/{event}/pricing-tiers
298527,api/event/v2/{event}/tickets
3655,api/event/v2/shoutouts/{shoutout}
15,api/events
8335,api/events/{market}
1978,api/events/attendees/badges/html/{id}
24,api/generate-playbook
291119,api/job-classifications
7926,api/job-functions
291121,api/job-industries
50303,api/mbt/mbt-tickets/{filename}
82368,api/payment/v2/credit-cards
1787,api/payment/v2/credit-cards/{credit_card}
7142260,api/press-releases
3895,api/products/v2
11446,api/products/v2/{product}
249842,apply-to-speak
1888,archives
271209,archives/{any}
1529,austin
1790951,author/{user_id}
1,bios
1,bisnow-match
109018,biswire
452255,biswire/{id}
4008,biswire/checkout/order
897,biswire/preview/{content}
981,blogs
304941,blogs/{id_or_slug}
1195,blogs/sort/{slug}
130,calendar/add
12519,calendar/add2
1922,careers
1245,cart/add/{id}
579,cart/add/multiple/{product_ids}
1,cart/user
185,change-newsletter-email
36,checkout/ascent
16,checkout/elevate
736,checkout/escape
225,checkout/escape/confirm
1182876,checkout/v2/{product}
39840,checkout/v2/receipt/{order}
61160,checkout/v2/thank-you/{order}
2,cities
1,client-portal/1.0/dashboard/{client_id}
1,client-portal/2.0/dashboard/{client_id}
1,client-portal/3.0
16,client-portal/3.0/{client_id}
120,client-portal/3.0/dashboard/{client_id}
43,client-portal/3.0/dashboard/{client_id}/content
41,client-portal/3.0/dashboard/{client_id}/image-ads
1,client-portal/3.0/dashboard/view/{order}/{client_id}
1,client-portal/4.0/{client_id}
2,client-portal/4.0/dashboard/{client_id}
1,client-portal/4.0/dashboard/{client_id}/clicks
1,client-portal/4.0/dashboard/{client_id}/content
1,client-portal/4.0/dashboard/{client_id}/custom-content
1,client-portal/4.0/dashboard/{client_id}/image-ads
1,client-portal/4.0/dashboard/{client_id}/impressions
1,client-portal/4.0/dashboard/{client_id}/impressions-graph
1,client-portal/4.0/dashboard/{client_id}/leads
73,clientportal/{client_id}
4,clients
22,clients/{client_id}
9670,comp-ticket-confirmation/{confirmation_code}
28361,comp-ticket-confirmation/{consent_code}
283,company-bios
598180,company/{name}
1257,creative-labs
4,current-sponsors
712,data-center-bisnow-national
5,data-center-bisnow-national/news/past
15795,digital-summits
5764,digital-summits/{market}/{slug}
26588,digital-summits/{market}/{topic}/{slug}
37,elevate/terms-and-conditions
10182,event-products
177065,events
561858,events/{market}/{slug}
2865357,events/{market}/{topic}/{slug}
13756,events/{market}/topic/{topic}
407835,events/{tag}
3,events//events/{city}/{slug}
7330,events/ad/{event_id}/{ad_size}
704,events/ad/{event}/copromo/generate
551,events/ad/download/{event_id}/{ad_size}
855,events/ad/download/{event}/{size}
50,events/ad/download/{event}/all
1756,events/ad/production/{event_id}/{ad_size}
1227,events/austin
242,events/blast/{id}/{template}
507,events/directions/{id}
4,events/events/{city}/{slug}
5,events/home
1022,events/national/{id}/attendees
44,events/news/{event_id}/{content_id}
10118,events/past
3776,events/past/{market}/topic/{topic}
42223,events/past/{tag}
151222,events/preview/{event}
22,events/registration/{id}
12,events/registration/{id}/{step}
1030,events/san-antonio
839,events/silicon-valley
252,events/unsubscribe/{event_id}
157,events/unsubscribe/{event_id}/{email}
1674,faq
7,faq/contact-helpdesk
7118,feature/{classification_slug}
29615,feature/{classification_slug}/{content_slug}
43313,feeds
39,feeds/morning_brief/{class_slug}
2150,feeds/rss
1,gdpr-answer
8,groups/memberships
407145,handleLogin
21324,home
54,image/jpg
190,image/png
112,image/resize/jpg
40,img/upload
8308869,invoice
87,invoice/{id}
1110,invoice/confirmation
1,jobs
1,jobs/new
2672,legal
2598,legal/gdpr
105202,legal/privacy
23316,legal/terms
11187,list/{list_id}
111856,list/{list_id}/{content_id}
31,list/preview/{list_id}
1,log/{type}
488067,login
94337,login/linkedin
27782,login/linkedin/callback
92861,logout
32,london-morning-brief
14,match
16,media-kit
215097,more-news
121,national/news/office/media-kit-80943
612174,newsletter-sign-up
239071,newsletters
218,newsletters/{market}
38135,newsletters/{market}/{publicationId}
148,newsletters/{market}/archive
711058,newsletters/{market}/archive/{archiveId}
710922,newsletters/{market}/archive/{archiveId}/{issueType}/{issueDate}
239764,newsletters/{market}/archive/{archiveId}/preview
1332,newsletters/publications/{publication_id}/dates/{year}
599,order/{id}/fullRefund
864,order/{id}/partialRefund
13,order/{id}/partialRefund/email/{lineItem}
1712,order/{order_id_or_guest_token}/pdf/{user_id?}
5410,order/{order}
66,order/lineItem/credit/{id}
286,order/lineItem/refund/{id}
2401,order/ticket/{id}
482,order/ticket/clear/{id}
16158,order/ticket/new
21,order/ticket/not-attending/{ticket_id}
37124,order/tickets/sponsor/{event_id}/{id}
11739,order/tickets/sponsor/{id}
38487,orders
12355,orders/{order_id_or_guest_token}/tickets/{line_item_id}
1463,our-sponsors
1,out
5811,partners
748729,partners/{id_or_slug}
2515,partners/sort/{slug}
12,password
27352,password/modal/forgot
17947,password/modal/reset
11945,password/remind
5532,password/reset
11,password/reset/{token}
13853,podcasts
2351,press
48213,preview_story/{id}
2,preview_story/feature/{id}
4,profile/edit/request
50,profiles/filter
5684,questionnaire/{questionnaire}
18477,questionnaire/{questionnaire}/{questionUsageType}
2,quizuseranswers/create
111683,register
24894,register/social
1906,register/update-phone
1238385,robots.txt
1740889,rss
7342916,rss-feed/{city}
26406,rss/{city}
135917,rss/all
31014,rss/events
1311,san-antonio
675,search
4137966,search/{type}
49222,session/checkout
12,share/email
84791,share/email/{id}
1071,signup
39,signup-complete
3046,silicon-valley
20,silicon-valley/news/past
22079,sitemap
100216,sitemap/{year}
138952,sitemap/{year}/{month}
7704,sitemap/events
217,sitemap/events/past
12003,sitemap/xml
1823,sitemap/xml/{year}/{month}
300,sitemap/xml/archives/{year}
7811,slideshows
67,speaker-consent/{consent_code}
1129,sponsor
77,sponsor/morning-brief
1,story/download/{content_id}
7,submit-share-email/{id}
1033,submitspeaker
8,submitsponsor
424202,subscribe
120,subscribe-box
99454,subscribe/{list_id}
60,subscribe/bison/{listId}
9,subscribe/blast/{slug}
68,subscribe/global
1,subscribe/global/step2
10,subscribe/publication/{id}
1,subscribe/thanks
541101,subscriptions
396454,subscriptions/email
5,subscriptions/events
71,subscriptions/subscribe/blast/{slug}
924,subscriptions/subscribe/global
3293,subscriptions/subscribe/publication/{id}
6,subscriptions/v1/resubscribe
14,sustainability/news/past
9625,tags
28132976,tags/{tag}
21609,tech/{slug}
91,test
10818,today
117615,today/{event}
92236,top-stories
605000,top-stories/{slug}
108,track/media-kit
52318,tv/{city}/{id}
1174,uncategorized/{id}
25786,unsubscribe/bison/{listId}
238662,unsubscribe/blast/{slug}
482072,unsubscribe/global
127,unsubscribe/global/{bison_list_id}
1307,unsubscribe/global/cancel
39220,unsubscribe/global/opted-out
211190,unsubscribe/publication/{id}
68,user
14867,user/billing
11,user/billing/edit
49,user/billing/edit/{card_order}
177,user/billing/remove_card
12,user/billing/set-default/{card_order}
26071941,user/data
31092,user/email_password
44667,user/email-check
259,user/hide/popout
19,user/my/attendee-list
4640,user/my/attendee-list/{id}
2508,user/my/attendee-list/csv/{id}
47796,user/my/attendee-list/csv/code/{attendee_list_download_code}
72224,user/my/attendee-lists
253,user/my/branding-sponsorships
63015,user/my/invoices
12184,user/my/jobs
983,user/my/post-event-playbook/{id}
1,user/my/post-event-playbook/code/{playbook_download_code}
510,user/my/post-event-playbook/pdf/{id}
1216,user/my/post-event-playbook/pdf/code/{playbook_download_code}
5324,user/my/post-event-playbooks
4011,user/my/settings
213,user/my/settings/request-delete
17,user/my/settings/request-info
17,user/my/settings/unlink/{provider}
77647,user/my/tickets
2870,user/my/videos
35,user/newsletter_prefs
237,user/newsletters
134,user/orders
204877,user/preferences
13,vat/op/{type}
52437,videos
16034,videos/overview/{videoId}
315,videos/watch/{videoId}
66687,webinar/{market}/{slug}
336724,webinar/{market}/{topic}/{slug}
8020,webinars
6908,webinars/{tag}
47395,webinars/{webinar}/register
1044,webinars/past
5302,webinars/past/{tag}
6795,webinars/post-registration-content/{webinar}
3034,webinars/preview/{event}
5740,webinars/video/{webinar}
